locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Amboroka,active,create,a7e3c89c-b560-4a06-8d7a-609d9e1e2a9f,,7174ae50-4d3d-4fd1-a906-4fab680bede5,CSB2,csb2,5,Building,bu,45.308,-16.182
CSB Amborompotsy,active,create,0e445207-16be-4c4d-b43d-4d59e7f3974a,,9fa3d656-1b8d-4342-b43d-a6de5f0491b7,CSB1,csb1,5,Building,bu,46.246,-20.319
CSB Amborompotsy,active,create,f9bd211d-95f8-47a7-ad3f-dc580f8d7b76,,9c327240-b6ab-4ad7-b691-7631374d1848,CSB1,csb1,5,Building,bu,48.463,-17.425
CSB Amborondolo,active,create,0a9e37a8-eed7-4fb4-9e1c-a512ffe1f7a9,,85de4cb1-78f0-4aa8-bbde-3a1299b66b2c,CSB2,csb2,5,Building,bu,49.037,-18.772
CSB Amborondolo,active,create,b0ccc4e9-bb09-456b-b605-66199c003c82,,beab9ca8-f4c6-4801-89bc-816e1c35201b,CSB1,csb1,5,Building,bu,48.485,-15.035
CSB Amboronosy,active,create,93ee05ab-c65f-4776-8b37-c9632a7fa057,,5a5bb1fe-6833-4484-8768-23d5b2b3335b,CSB2,csb2,5,Building,bu,47.757,-18.965
CSB Ambovombe Centre,active,create,8ada73a7-2a04-43f8-b0e2-4294c435275e,,95e52f73-e4b0-4869-9c07-13cc3fa518c9,CSB2,csb2,5,Building,bu,47.077,-20.692
CSB Ambovonomby,active,create,5a9c93ac-c9d5-4223-8912-74c928b71b38,,c6fd5ace-94aa-4b1d-a80d-75f9a2939f20,CSB1,csb1,5,Building,bu,49.015,-14.103
CSB Amcm,active,create,46dcb5fd-e58b-457c-8d48-68abbdbfcbb8,,a580ee00-578a-4d52-8224-6d0338ea8937,CSB2,csb2,5,Building,bu,,
CSB Amcm Analamahitsy,active,create,b2dc807c-fe7e-4932-8087-56b9f5b37767,,b410d757-4164-40f6-af32-3d635b6ac48b,CSB1,csb1,5,Building,bu,,
CSB Amcm Anosisoa,active,create,e0078caa-a01a-41bc-ba1a-09aa74f908b8,,b00116dc-f679-42bb-9136-a0237fa31755,CSB2,csb2,5,Building,bu,,
CSB Amcm Soavimasoandro,active,create,48604b5f-f796-40b7-968a-2ddc0b0238a6,,7f551908-5e7e-4e9d-a91a-500fb48a786b,CSB2,csb2,5,Building,bu,,
CSB Amel 67 Ha,active,create,5b3e643f-ba56-4767-bf4d-09a56a92cf14,,b410d757-4164-40f6-af32-3d635b6ac48b,CSB2,csb2,5,Building,bu,47.506,-18.826
CSB Amical Avotr'Aina Andranobevava,active,create,9c8087b7-ab10-4bbc-889b-a46c023ca594,,913b79b1-0b8d-462f-b0d5-5c890df331cb,CSB2,csb2,5,Building,bu,47.552,-18.89
CSB Amical Avotr'Aina Ivandry,active,create,18ca9aa0-192f-406e-901a-6c670e452a8b,,2b1ddda5-55ab-4211-a7d6-2cd9117b5852,CSB2,csb2,5,Building,bu,47.521,-18.797
CSB Amin'Ampanga,active,create,ae06b4d3-b741-4840-9fdd-3b9d81bccc4e,,b410d757-4164-40f6-af32-3d635b6ac48b,CSB2,csb2,5,Building,bu,47.649,-18.831
CSB Amis Des Jeunes Moramanga (Ex Du),active,create,51461081-e386-4880-8f07-cc59af315e5a,,0f8f5ecf-2476-45ba-b232-14f851a9c1da,CSB2,csb2,5,Building,bu,48.237,-18.948
CSB Amit Ankadimbahoaka,active,create,fec404bf-5564-4339-9c10-3b01dc7909ef,,e70844ea-2707-4622-8105-8046abf81235,CSB2,csb2,5,Building,bu,47.525,-18.92
CSB Amit Antanimena,active,create,bcd24462-3148-467c-8f88-f4a4b82646cb,,8f127dd1-8e58-4d53-b273-bf8945e3e43a,CSB2,csb2,5,Building,bu,47.521,-18.891
CSB Amit Behoririka,active,create,4ebd4611-9815-4ff1-8c9c-c25999c09166,,e70844ea-2707-4622-8105-8046abf81235,CSB2,csb2,5,Building,bu,47.526,-18.936
